Sentença	Id	Index	Granularidade	Documento
A Microsoft lançou novas ferramentas de inteligência artificial para empresas em São Paulo.	1	0	0	A Microsoft lançou novas ferramentas de inteligência artificial para empresas em São Paulo . A empresa afirmou que os recursos ajudam equipes de tecnologia .
A empresa afirmou que os recursos ajudam equipes de tecnologia.	1	1	0	A Microsoft lançou novas ferramentas de inteligência artificial para empresas em São Paulo . A empresa afirmou que os recursos ajudam equipes de tecnologia .
0	1	-1	1	A Microsoft lançou novas ferramentas de inteligência artificial para empresas em São Paulo . A empresa afirmou que os recursos ajudam equipes de tecnologia .
A Universidade de São Paulo realizou uma pesquisa sobre segurança da informação.	2	0	0	A Universidade de São Paulo realizou uma pesquisa sobre segurança da informação . O estudo analisou riscos digitais em organizações brasileiras .
O estudo analisou riscos digitais em organizações brasileiras.	2	1	0	A Universidade de São Paulo realizou uma pesquisa sobre segurança da informação . O estudo analisou riscos digitais em organizações brasileiras .
1	2	-1	1	A Universidade de São Paulo realizou uma pesquisa sobre segurança da informação . O estudo analisou riscos digitais em organizações brasileiras .
O Google anunciou melhorias em seus serviços de nuvem no Brasil.	3	0	0	O Google anunciou melhorias em seus serviços de nuvem no Brasil . A empresa destacou o crescimento da computação em nuvem entre pequenas empresas .
A empresa destacou o crescimento da computação em nuvem entre pequenas empresas.	3	1	0	O Google anunciou melhorias em seus serviços de nuvem no Brasil . A empresa destacou o crescimento da computação em nuvem entre pequenas empresas .
2	3	-1	1	O Google anunciou melhorias em seus serviços de nuvem no Brasil . A empresa destacou o crescimento da computação em nuvem entre pequenas empresas .
A Petrobras utiliza sistemas digitais para controlar processos industriais no Rio de Janeiro.	4	0	0	A Petrobras utiliza sistemas digitais para controlar processos industriais no Rio de Janeiro . A companhia investe em automação e análise de dados .
A companhia investe em automação e análise de dados.	4	1	0	A Petrobras utiliza sistemas digitais para controlar processos industriais no Rio de Janeiro . A companhia investe em automação e análise de dados .
3	4	-1	1	A Petrobras utiliza sistemas digitais para controlar processos industriais no Rio de Janeiro . A companhia investe em automação e análise de dados .
O Banco do Brasil ampliou o uso de aplicativos móveis para atendimento aos clientes.	5	0	0	O Banco do Brasil ampliou o uso de aplicativos móveis para atendimento aos clientes . A instituição também reforçou medidas de proteção contra fraudes .
A instituição também reforçou medidas de proteção contra fraudes.	5	1	0	O Banco do Brasil ampliou o uso de aplicativos móveis para atendimento aos clientes . A instituição também reforçou medidas de proteção contra fraudes .
4	5	-1	1	O Banco do Brasil ampliou o uso de aplicativos móveis para atendimento aos clientes . A instituição também reforçou medidas de proteção contra fraudes .
A Prefeitura de Curitiba implementou uma plataforma online para serviços públicos.	6	0	0	A Prefeitura de Curitiba implementou uma plataforma online para serviços públicos . O sistema permite consultar documentos e solicitar atendimento pela internet .
O sistema permite consultar documentos e solicitar atendimento pela internet.	6	1	0	A Prefeitura de Curitiba implementou uma plataforma online para serviços públicos . O sistema permite consultar documentos e solicitar atendimento pela internet .
5	6	-1	1	A Prefeitura de Curitiba implementou uma plataforma online para serviços públicos . O sistema permite consultar documentos e solicitar atendimento pela internet .
A Amazon Web Services oferece recursos de armazenamento e processamento para empresas.	7	0	0	A Amazon Web Services oferece recursos de armazenamento e processamento para empresas . Muitas organizações usam a nuvem para reduzir custos operacionais .
Muitas organizações usam a nuvem para reduzir custos operacionais.	7	1	0	A Amazon Web Services oferece recursos de armazenamento e processamento para empresas . Muitas organizações usam a nuvem para reduzir custos operacionais .
6	7	-1	1	A Amazon Web Services oferece recursos de armazenamento e processamento para empresas . Muitas organizações usam a nuvem para reduzir custos operacionais .
O Ministério da Educação divulgou dados sobre ensino a distância no Brasil.	8	0	0	O Ministério da Educação divulgou dados sobre ensino a distância no Brasil . As informações mostram aumento no uso de plataformas digitais .
As informações mostram aumento no uso de plataformas digitais.	8	1	0	O Ministério da Educação divulgou dados sobre ensino a distância no Brasil . As informações mostram aumento no uso de plataformas digitais .
7	8	-1	1	O Ministério da Educação divulgou dados sobre ensino a distância no Brasil . As informações mostram aumento no uso de plataformas digitais .
A empresa Totvs desenvolve sistemas de gestão empresarial para diferentes setores.	9	0	0	A empresa Totvs desenvolve sistemas de gestão empresarial para diferentes setores . Suas soluções são utilizadas por organizações no comércio e na indústria .
Suas soluções são utilizadas por organizações no comércio e na indústria.	9	1	0	A empresa Totvs desenvolve sistemas de gestão empresarial para diferentes setores . Suas soluções são utilizadas por organizações no comércio e na indústria .
8	9	-1	1	A empresa Totvs desenvolve sistemas de gestão empresarial para diferentes setores . Suas soluções são utilizadas por organizações no comércio e na indústria .
A Oracle oferece bancos de dados utilizados por empresas de grande porte.	10	0	0	A Oracle oferece bancos de dados utilizados por empresas de grande porte . Esses sistemas armazenam informações financeiras , comerciais e administrativas .
Esses sistemas armazenam informações financeiras, comerciais e administrativas.	10	1	0	A Oracle oferece bancos de dados utilizados por empresas de grande porte . Esses sistemas armazenam informações financeiras , comerciais e administrativas .
9	10	-1	1	A Oracle oferece bancos de dados utilizados por empresas de grande porte . Esses sistemas armazenam informações financeiras , comerciais e administrativas .
A IBM realizou um evento sobre segurança cibernética em Brasília.	11	0	0	A IBM realizou um evento sobre segurança cibernética em Brasília . Especialistas discutiram riscos , privacidade e proteção de dados .
Especialistas discutiram riscos, privacidade e proteção de dados.	11	1	0	A IBM realizou um evento sobre segurança cibernética em Brasília . Especialistas discutiram riscos , privacidade e proteção de dados .
10	11	-1	1	A IBM realizou um evento sobre segurança cibernética em Brasília . Especialistas discutiram riscos , privacidade e proteção de dados .
A Meta atualizou recursos de privacidade no WhatsApp e no Instagram.	12	0	0	A Meta atualizou recursos de privacidade no WhatsApp e no Instagram . As mudanças foram apresentadas como forma de aumentar o controle dos usuários .
As mudanças foram apresentadas como forma de aumentar o controle dos usuários.	12	1	0	A Meta atualizou recursos de privacidade no WhatsApp e no Instagram . As mudanças foram apresentadas como forma de aumentar o controle dos usuários .
11	12	-1	1	A Meta atualizou recursos de privacidade no WhatsApp e no Instagram . As mudanças foram apresentadas como forma de aumentar o controle dos usuários .
A Receita Federal utiliza sistemas digitais para processar informações fiscais.	13	0	0	A Receita Federal utiliza sistemas digitais para processar informações fiscais . Esses sistemas ajudam no controle de declarações e pagamentos .
Esses sistemas ajudam no controle de declarações e pagamentos.	13	1	0	A Receita Federal utiliza sistemas digitais para processar informações fiscais . Esses sistemas ajudam no controle de declarações e pagamentos .
12	13	-1	1	A Receita Federal utiliza sistemas digitais para processar informações fiscais . Esses sistemas ajudam no controle de declarações e pagamentos .
A Samsung apresentou novos dispositivos móveis durante um evento em Seul.	14	0	0	A Samsung apresentou novos dispositivos móveis durante um evento em Seul . A empresa destacou melhorias em câmeras e desempenho .
A empresa destacou melhorias em câmeras e desempenho.	14	1	0	A Samsung apresentou novos dispositivos móveis durante um evento em Seul . A empresa destacou melhorias em câmeras e desempenho .
13	14	-1	1	A Samsung apresentou novos dispositivos móveis durante um evento em Seul . A empresa destacou melhorias em câmeras e desempenho .
A Apple anunciou atualizações para o iPhone durante uma apresentação na Califórnia.	15	0	0	A Apple anunciou atualizações para o iPhone durante uma apresentação na Califórnia . A empresa também comentou avanços em inteligência artificial .
A empresa também comentou avanços em inteligência artificial.	15	1	0	A Apple anunciou atualizações para o iPhone durante uma apresentação na Califórnia . A empresa também comentou avanços em inteligência artificial .
14	15	-1	1	A Apple anunciou atualizações para o iPhone durante uma apresentação na Califórnia . A empresa também comentou avanços em inteligência artificial .
A Fundação Getulio Vargas publicou uma análise sobre transformação digital.	16	0	0	A Fundação Getulio Vargas publicou uma análise sobre transformação digital . O relatório avaliou o impacto da tecnologia nas empresas brasileiras .
O relatório avaliou o impacto da tecnologia nas empresas brasileiras.	16	1	0	A Fundação Getulio Vargas publicou uma análise sobre transformação digital . O relatório avaliou o impacto da tecnologia nas empresas brasileiras .
15	16	-1	1	A Fundação Getulio Vargas publicou uma análise sobre transformação digital . O relatório avaliou o impacto da tecnologia nas empresas brasileiras .
A Embraer usa tecnologia para desenvolver aeronaves e melhorar processos de engenharia.	17	0	0	A Embraer usa tecnologia para desenvolver aeronaves e melhorar processos de engenharia . A empresa brasileira atua no mercado internacional .
A empresa brasileira atua no mercado internacional.	17	1	0	A Embraer usa tecnologia para desenvolver aeronaves e melhorar processos de engenharia . A empresa brasileira atua no mercado internacional .
16	17	-1	1	A Embraer usa tecnologia para desenvolver aeronaves e melhorar processos de engenharia . A empresa brasileira atua no mercado internacional .
A Universidade Federal do Paraná iniciou um projeto sobre análise de textos.	18	0	0	A Universidade Federal do Paraná iniciou um projeto sobre análise de textos . O grupo de pesquisa utiliza Python e bibliotecas de processamento de linguagem natural .
O grupo de pesquisa utiliza Python e bibliotecas de processamento de linguagem natural.	18	1	0	A Universidade Federal do Paraná iniciou um projeto sobre análise de textos . O grupo de pesquisa utiliza Python e bibliotecas de processamento de linguagem natural .
17	18	-1	1	A Universidade Federal do Paraná iniciou um projeto sobre análise de textos . O grupo de pesquisa utiliza Python e bibliotecas de processamento de linguagem natural .
A Natura investiu em comércio eletrônico e canais digitais de atendimento.	19	0	0	A Natura investiu em comércio eletrônico e canais digitais de atendimento . A empresa busca melhorar a experiência dos consumidores .
A empresa busca melhorar a experiência dos consumidores.	19	1	0	A Natura investiu em comércio eletrônico e canais digitais de atendimento . A empresa busca melhorar a experiência dos consumidores .
18	19	-1	1	A Natura investiu em comércio eletrônico e canais digitais de atendimento . A empresa busca melhorar a experiência dos consumidores .
A Magazine Luiza ampliou o uso de dados para recomendar produtos aos clientes.	20	0	0	A Magazine Luiza ampliou o uso de dados para recomendar produtos aos clientes . A companhia também investe em tecnologia para logística .
A companhia também investe em tecnologia para logística.	20	1	0	A Magazine Luiza ampliou o uso de dados para recomendar produtos aos clientes . A companhia também investe em tecnologia para logística .
19	20	-1	1	A Magazine Luiza ampliou o uso de dados para recomendar produtos aos clientes . A companhia também investe em tecnologia para logística .
A Polícia Federal investigou crimes digitais envolvendo vazamento de dados.	21	0	0	A Polícia Federal investigou crimes digitais envolvendo vazamento de dados . A operação destacou a importância da segurança da informação .
A operação destacou a importância da segurança da informação.	21	1	0	A Polícia Federal investigou crimes digitais envolvendo vazamento de dados . A operação destacou a importância da segurança da informação .
20	21	-1	1	A Polícia Federal investigou crimes digitais envolvendo vazamento de dados . A operação destacou a importância da segurança da informação .
A Cisco oferece equipamentos e soluções para redes corporativas.	22	0	0	A Cisco oferece equipamentos e soluções para redes corporativas . Suas tecnologias são usadas em empresas , escolas e órgãos públicos .
Suas tecnologias são usadas em empresas, escolas e órgãos públicos.	22	1	0	A Cisco oferece equipamentos e soluções para redes corporativas . Suas tecnologias são usadas em empresas , escolas e órgãos públicos .
21	22	-1	1	A Cisco oferece equipamentos e soluções para redes corporativas . Suas tecnologias são usadas em empresas , escolas e órgãos públicos .
A Dell anunciou computadores voltados para profissionais de tecnologia.	23	0	0	A Dell anunciou computadores voltados para profissionais de tecnologia . A empresa informou que os modelos possuem maior desempenho para tarefas de dados .
A empresa informou que os modelos possuem maior desempenho para tarefas de dados.	23	1	0	A Dell anunciou computadores voltados para profissionais de tecnologia . A empresa informou que os modelos possuem maior desempenho para tarefas de dados .
22	23	-1	1	A Dell anunciou computadores voltados para profissionais de tecnologia . A empresa informou que os modelos possuem maior desempenho para tarefas de dados .
A Lenovo apresentou notebooks para estudantes e trabalhadores remotos.	24	0	0	A Lenovo apresentou notebooks para estudantes e trabalhadores remotos . A companhia destacou mobilidade , bateria e integração com serviços online .
A companhia destacou mobilidade, bateria e integração com serviços online.	24	1	0	A Lenovo apresentou notebooks para estudantes e trabalhadores remotos . A companhia destacou mobilidade , bateria e integração com serviços online .
23	24	-1	1	A Lenovo apresentou notebooks para estudantes e trabalhadores remotos . A companhia destacou mobilidade , bateria e integração com serviços online .
A Microsoft Teams é utilizada por empresas para reuniões e comunicação interna.	25	0	0	A Microsoft Teams é utilizada por empresas para reuniões e comunicação interna . A ferramenta se tornou comum em ambientes de trabalho remoto .
A ferramenta se tornou comum em ambientes de trabalho remoto.	25	1	0	A Microsoft Teams é utilizada por empresas para reuniões e comunicação interna . A ferramenta se tornou comum em ambientes de trabalho remoto .
24	25	-1	1	A Microsoft Teams é utilizada por empresas para reuniões e comunicação interna . A ferramenta se tornou comum em ambientes de trabalho remoto .
O GitHub é usado por desenvolvedores para armazenar e compartilhar código.	26	0	0	O GitHub é usado por desenvolvedores para armazenar e compartilhar código . A plataforma pertence à Microsoft e ajuda no controle de versões .
A plataforma pertence à Microsoft e ajuda no controle de versões.	26	1	0	O GitHub é usado por desenvolvedores para armazenar e compartilhar código . A plataforma pertence à Microsoft e ajuda no controle de versões .
25	26	-1	1	O GitHub é usado por desenvolvedores para armazenar e compartilhar código . A plataforma pertence à Microsoft e ajuda no controle de versões .
A linguagem Python é usada em universidades e empresas para ciência de dados.	27	0	0	A linguagem Python é usada em universidades e empresas para ciência de dados . Bibliotecas como Pandas e Matplotlib facilitam análises e gráficos .
Bibliotecas como Pandas e Matplotlib facilitam análises e gráficos.	27	1	0	A linguagem Python é usada em universidades e empresas para ciência de dados . Bibliotecas como Pandas e Matplotlib facilitam análises e gráficos .
26	27	-1	1	A linguagem Python é usada em universidades e empresas para ciência de dados . Bibliotecas como Pandas e Matplotlib facilitam análises e gráficos .
A cidade de Florianópolis possui empresas de tecnologia e inovação.	28	0	0	A cidade de Florianópolis possui empresas de tecnologia e inovação . Startups locais atuam em software , educação e serviços digitais .
Startups locais atuam em software, educação e serviços digitais.	28	1	0	A cidade de Florianópolis possui empresas de tecnologia e inovação . Startups locais atuam em software , educação e serviços digitais .
27	28	-1	1	A cidade de Florianópolis possui empresas de tecnologia e inovação . Startups locais atuam em software , educação e serviços digitais .
O Hospital Albert Einstein utiliza sistemas de informação para apoiar atendimentos médicos.	29	0	0	O Hospital Albert Einstein utiliza sistemas de informação para apoiar atendimentos médicos . A tecnologia ajuda na organização de dados e processos .
A tecnologia ajuda na organização de dados e processos.	29	1	0	O Hospital Albert Einstein utiliza sistemas de informação para apoiar atendimentos médicos . A tecnologia ajuda na organização de dados e processos .
28	29	-1	1	O Hospital Albert Einstein utiliza sistemas de informação para apoiar atendimentos médicos . A tecnologia ajuda na organização de dados e processos .
A Fundação Oswaldo Cruz realiza pesquisas científicas na área da saúde.	30	0	0	A Fundação Oswaldo Cruz realiza pesquisas científicas na área da saúde . A instituição também produz informações para políticas públicas no Brasil .
A instituição também produz informações para políticas públicas no Brasil.	30	1	0	A Fundação Oswaldo Cruz realiza pesquisas científicas na área da saúde . A instituição também produz informações para políticas públicas no Brasil .
29	30	-1	1	A Fundação Oswaldo Cruz realiza pesquisas científicas na área da saúde . A instituição também produz informações para políticas públicas no Brasil .
